,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,82,07 Feb 2001 (Wed),5585,9459,6115,3612,7077,8678,7113,1469,1658,2877,5351,6433,6603,8988,1296,2308,3559,5620,7490,9711,8363,0920,7570
,83,10 Feb 2001 (Sat),6210,2076,6138,5960,3888,7794,8882,8834,2268,2469,3338,4042,4823,7971,0250,1353,2386,2678,2801,4706,8992,0043,4276
,84,11 Feb 2001 (Sun),3873,9602,4258,4263,4921,5123,6335,7715,7439,9423,6469,0939,1573,6968,1515,1962,2378,8506,6675,8205,9365,3248,9681
,85,14 Feb 2001 (Wed),5703,6662,4079,2310,4031,5794,6014,6068,3983,8112,8386,0421,0557,4401,1527,2096,3343,3631,4576,8019,9026,9210,9658
,86,17 Feb 2001 (Sat),3134,7352,5145,9046,1376,3390,7558,3417,7834,3561,4720,7346,5082,0983,6168,4917,7827,4120,1349,6971,8351,3803,1478
,87,18 Feb 2001 (Sun),1865,7196,6170,8877,2665,4051,4290,7156,7443,8146,8369,9709,1758,5071,1139,3493,3795,3943,4348,5271,4728,6915,4371
,88,21 Feb 2001 (Wed),2351,5005,0644,7778,1339,0171,3060,3863,5133,5610,6814,9573,3708,8299,4143,0649,1249,2414,2865,6707,8732,7980,8610
,89,24 Feb 2001 (Sat),6128,6557,6669,9474,2992,3870,4596,5112,5729,6744,4564,8519,6997,6561,9269,7451,0371,4421,4706,4880,5934,8347,6916
,90,25 Feb 2001 (Sun),5030,0924,2402,9855,3560,8913,0162,3737,4452,4720,6364,6909,7443,7007,4317,6922,0152,0198,0225,1180,2726,9053,5683
,91,28 Feb 2001 (Wed),8617,6530,7920,7323,0490,2282,3419,3423,3482,4210,2296,6401,8517,7253,7565,9125,9509,3302,4251,9720,1489,0406,5659
,92,03 Mar 2001 (Sat),9778,0505,8181,6305,8630,6401,0352,2197,3537,3856,4057,5924,3406,7097,7156,9736,1076,7430,9926,1503,4063,4473,4801
,93,04 Mar 2001 (Sun),5255,7656,5174,8685,0914,8326,1035,2139,2816,3773,6434,6501,6941,2458,3849,3880,5483,9719,9884,5543,5790,0458,2388
,94,07 Mar 2001 (Wed),1530,7674,5803,5510,8121,6531,5612,4389,3801,2767,1372,0306,0883,0691,0640,1903,2004,3220,3389,3746,3750,6025,2644
,95,10 Mar 2001 (Sat),9548,1517,8537,2992,9862,9400,7119,0414,1412,1518,3484,4605,6438,7330,1533,2861,2889,3185,3531,6488,0839,4712,2370
,96,11 Mar 2001 (Sun),5395,1256,1058,6505,5945,4744,8445,8240,7224,1597,3505,3708,4885,5380,0930,3189,3313,4063,4861,8620,0729,4202,2493
,97,14 Mar 2001 (Wed),3293,8663,4837,3369,4461,4940,5060,7873,9690,9526,0902,2623,3086,8557,2494,2975,4901,5691,8595,7572,8577,9023,6993
,98,17 Mar 2001 (Sat),3282,1020,8786,1733,2667,4145,4164,5774,6609,9930,3355,0144,8874,5201,0478,1138,1433,1935,5794,6209,6423,7908,9212
,99,18 Mar 2001 (Sun),3138,9443,1628,0334,0908,2250,2318,3266,3582,1549,5042,4318,5430,9724,8138,0522,1019,1770,3881,4558,9721,5150,4799
