,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,2683,20 Sep 2017 (Wed),1343,5655,9079,1788,2061,3824,5683,7288,8850,8943,9192,9675,9764,4473,4911,5642,6693,6988,0438,1091,1554,2833,3111
,2684,23 Sep 2017 (Sat),2005,2608,0297,2063,2520,2754,5709,6283,6396,6854,7226,7300,7481,5717,6428,8354,9018,9598,9876,0608,0830,1105,1348
,2685,24 Sep 2017 (Sun),2507,7410,5777,0194,0479,0873,1166,1859,3708,5604,7240,8617,9876,4640,5458,7070,8302,8538,8714,8930,9699,2068,2769
,2686,27 Sep 2017 (Wed),1736,9982,7256,0387,1403,1516,4492,4894,5443,5847,8275,9572,9667,0632,2690,5097,5427,6852,7831,8397,8538,9089,9689
,2687,30 Sep 2017 (Sat),1918,8558,1122,8980,0463,1459,1679,3365,5274,6508,6821,7970,8311,0967,1091,1299,2738,3961,4310,4548,5986,6330,8138
,2688,01 Oct 2017 (Sun),6724,5793,7609,7189,7451,9884,2480,2622,3139,3221,3714,4878,6348,1600,4191,4199,4437,4779,5584,6063,6282,9042,9927
,2689,04 Oct 2017 (Wed),7917,0553,9631,7396,7635,8208,8233,9663,1304,2226,4250,4534,7130,0338,0767,1080,2244,3391,5672,6474,8285,9172,9357
,2690,07 Oct 2017 (Sat),7127,2989,1139,4842,5669,8955,9170,9591,9914,0651,0675,0678,1912,0754,1146,2340,3561,3894,5416,6939,7394,7704,9584
,2691,08 Oct 2017 (Sun),6863,5647,7532,1861,1864,2967,3128,3147,6759,8202,9063,0340,0646,0289,1634,2385,2630,3432,4283,4832,5769,5816,7388
,2692,11 Oct 2017 (Wed),3833,4751,4140,0669,2121,2260,3333,3921,5105,5759,7276,8519,9602,0407,0903,2460,4721,6362,6576,7712,7725,8228,9506
,2693,14 Oct 2017 (Sat),4285,1542,8565,0135,1662,4541,5315,5553,6448,8037,8198,8260,8819,2863,5065,5274,5368,5536,5573,7608,7646,9021,9860
,2694,15 Oct 2017 (Sun),6634,7863,2955,1583,3232,3297,3981,5652,5926,6517,8162,9085,9890,9684,9739,2712,2777,3253,6215,6948,6997,8009,8961
,2695,18 Oct 2017 (Wed),7683,8286,5034,0545,0659,3669,4540,6166,6648,7419,7625,8009,8678,8895,9808,9961,1733,4420,5612,5758,5935,6269,6840
,2696,21 Oct 2017 (Sat),8515,0959,1467,1334,2040,2583,2759,4344,4345,4502,4584,5486,7531,5483,6356,7010,8740,9829,1072,1131,2123,4787,5211
,2697,22 Oct 2017 (Sun),1856,9333,7976,0034,0529,1653,5102,5236,7045,7183,7630,7754,8768,2813,3428,7338,7463,8169,8748,9264,1146,1433,2808
,2698,25 Oct 2017 (Wed),4797,2988,7212,0417,1464,3608,3841,3951,4959,5006,5151,7374,9203,4610,4816,5607,5858,6088,6088,9137,9748,0205,0757
,2699,28 Oct 2017 (Sat),1054,3404,8020,0363,1002,1997,2925,5260,5915,7421,7606,8315,8962,1112,1699,2072,5409,6070,6193,7209,7681,8782,8860
,2700,29 Oct 2017 (Sun),3853,9602,2641,8809,9245,0696,1013,1874,3305,3671,5458,6826,7356,0137,1872,3718,6141,6444,7086,7916,8980,9451,9910
,2701,01 Nov 2017 (Wed),4098,0863,4465,6319,6841,9396,0653,2739,2776,3031,3602,4111,6166,0989,2786,3737,3739,4373,5515,7209,7368,7384,8337
,2702,04 Nov 2017 (Sat),6629,8016,9082,3264,5260,6849,7816,8305,0858,0936,1135,1543,1797,0509,0825,1660,1856,3832,4703,6062,8377,8433,8671
,2703,05 Nov 2017 (Sun),8841,0328,4432,2116,2887,4169,5133,6054,6716,8631,0081,0620,0885,0341,2347,3848,5460,6182,6242,6362,7907,8333,9161
,2704,08 Nov 2017 (Wed),0070,4497,0317,2048,2181,4896,6483,7043,9036,9431,9708,1375,1583,2931,3194,5400,5814,5922,6884,7215,7544,8779,9666
,2705,11 Nov 2017 (Sat),3602,0803,7896,0325,0334,3360,3749,3809,3966,6040,7829,8344,8535,0048,2621,3061,3754,4166,6157,6406,7991,9086,9610
,2706,12 Nov 2017 (Sun),2595,2962,8236,1483,2310,3516,3531,4386,4922,4985,6213,6455,7610,0215,1438,1454,2131,3849,5686,6977,7745,8376,9599
,2707,15 Nov 2017 (Wed),6108,2058,9056,1248,1973,3062,3527,4873,4963,6449,7051,8926,9689,7345,8672,0015,0080,2457,3293,3303,3557,5682,6524
,2708,18 Nov 2017 (Sat),1346,7113,1790,0513,0599,0716,1007,1182,2249,4518,6193,6533,6988,6932,7542,7831,9452,0191,1256,1504,2261,3142,5729
,2709,19 Nov 2017 (Sun),5785,6743,6171,1547,1719,4101,5361,5831,5895,6732,8525,9305,9599,6539,6807,7424,9182,9623,1077,2483,4158,4749,4919
,2710,22 Nov 2017 (Wed),6450,1981,7734,0546,0730,3301,3991,5403,6412,6432,7646,8715,8724,3918,4276,7059,7836,8544,8925,9404,0210,1410,1770
,2711,25 Nov 2017 (Sat),9470,0954,3515,0073,0674,1636,2665,5489,6347,7684,8975,9912,9970,1698,1901,2066,2971,3093,3258,3807,6336,8366,0507
,2712,26 Nov 2017 (Sun),8119,8983,4935,1223,1390,2620,3601,4238,4389,5021,6854,7100,9580,2278,3005,3276,4561,5370,6402,6473,7595,9925,9988
,2713,29 Nov 2017 (Wed),0529,2578,6670,7527,9535,1080,1345,1391,1712,2361,3782,5328,7356,0231,3655,3838,4622,5313,5470,5748,6824,8848,9656
,2714,02 Dec 2017 (Sat),1857,9307,7948,6860,7787,8009,9032,0212,1297,2286,2317,5928,6035,0097,0321,0448,0652,1787,2222,2751,2967,6372,9444
,2715,03 Dec 2017 (Sun),4921,9235,4088,5681,6332,7189,7474,7530,0841,1114,5006,5217,5251,2546,2710,3037,3953,4831,4918,6227,6444,7243,9189
,2716,06 Dec 2017 (Wed),0826,3039,3995,4019,4486,6590,7252,7259,8274,8827,0136,2968,3463,0693,0708,1037,1507,2304,4110,5570,6063,8132,8541
,2717,09 Dec 2017 (Sat),8514,7068,8123,4093,5805,6211,6338,6989,8186,8334,8690,9237,1260,2198,3222,3776,4154,6003,7329,7425,7687,8791,9410
,2718,10 Dec 2017 (Sun),2930,5302,4207,0330,1296,2726,3669,5198,6774,7642,8395,8543,9450,0318,0609,3731,5064,5938,6475,7077,7491,8798,9236
,2719,13 Dec 2017 (Wed),5028,4470,8577,1486,2085,2198,2901,3526,4014,4904,5395,6447,8479,9530,0561,1583,3232,3294,4080,5069,5788,7674,8996
,2720,16 Dec 2017 (Sat),5788,8750,4929,0096,1922,3051,4468,4974,6954,7587,8351,8491,9919,8252,8304,2191,2216,2405,3341,3481,5744,7063,7532
,2721,17 Dec 2017 (Sun),9754,2343,4280,1434,1556,2014,5230,5572,7515,7630,8440,8664,8887,5740,6280,9293,9435,0059,1042,1225,2372,3116,5070
,2722,20 Dec 2017 (Wed),8759,7348,9875,0111,1182,2097,2193,2247,2847,4713,4837,5737,6322,4814,5038,5655,6527,6951,7604,7906,9168,0219,2548
,2723,23 Dec 2017 (Sat),8013,4021,7844,0469,0541,2620,2916,3292,5728,6175,6588,6710,7236,3251,3677,4240,5112,5964,6685,9554,1834,2578,2723
,2724,24 Dec 2017 (Sun),4910,5052,2611,0484,3139,3243,4292,4855,5784,6710,6938,8354,8469,0564,1304,1915,2066,4256,4270,6549,9064,9410,0520
,2725,27 Dec 2017 (Wed),9503,6717,2325,0110,0206,0324,3261,6057,6199,7518,7562,8343,9186,7143,8779,0277,0415,2280,2965,3286,4821,6526,6706
,2726,30 Dec 2017 (Sat),7073,5702,8988,2105,2387,2447,3595,5647,7182,7641,8142,8791,8812,8896,8927,0149,0506,1470,3913,5899,6438,8141,8552
,2727,31 Dec 2017 (Sun),2238,8524,9415,0292,0829,1264,1324,4695,5498,6350,6522,7905,9909,4676,4778,7633,9836,0567,0683,0983,1375,3625,4573
,2728,03 Jan 2018 (Wed),2274,3942,3346,0905,1046,3199,4286,6490,6708,7656,8569,9482,9897,4633,5137,7507,7978,9193,2638,3135,3206,3794,4450
,2729,06 Jan 2018 (Sat),0797,9695,6327,0032,3937,4345,4353,5478,5635,5665,8427,8487,8750,3095,3268,5158,5749,5844,8107,8557,0565,1953,2984
,2730,07 Jan 2018 (Sun),1575,0671,0644,2027,2669,3503,4430,4638,6269,6511,7312,7328,8607,1077,2175,2346,3860,5352,6918,7227,9146,9596,1036
,2731,10 Jan 2018 (Wed),7497,6290,5158,0095,1270,2472,3486,4644,5101,6158,6528,7210,9471,1820,2102,2355,2924,3984,4248,5053,6215,6745,7918
,2732,13 Jan 2018 (Sat),0709,9261,6083,8249,8450,0211,0228,0389,0436,2251,3671,5588,6981,1277,1907,2525,3397,4937,5262,5660,8946,9101,9803
,2733,14 Jan 2018 (Sun),9756,2374,5820,5062,5850,6710,8364,0109,1345,1763,2894,3238,4038,0381,0523,1393,1441,2017,3333,4179,4455,6488,6549
,2734,17 Jan 2018 (Wed),7343,0646,3178,3658,5789,6829,0613,0998,1533,2021,3163,3233,3651,0045,0287,0676,1094,1410,2418,3277,6778,8973,9668
,2735,20 Jan 2018 (Sat),4573,4651,4635,0305,0509,0801,2555,3544,5719,6530,7040,7056,9911,3588,4532,4962,6912,8488,8844,9110,9834,1190,2972
,2736,21 Jan 2018 (Sun),7460,3855,4493,0353,0841,1570,3907,4655,4955,4996,5753,7052,8291,2839,3503,3552,4131,4232,4337,7178,7444,9090,9576
,2737,24 Jan 2018 (Wed),5100,2802,5218,9112,2326,2519,3448,3995,4180,5633,5699,6792,8355,0236,0999,1653,2598,4969,5683,6787,6893,6901,6905
,2738,27 Jan 2018 (Sat),8662,4929,7388,6486,8365,9965,0188,1348,1351,2433,2709,3954,4762,0154,2048,3393,4156,4276,6265,7516,8919,9037,9199
,2739,28 Jan 2018 (Sun),9864,5510,1690,5141,6400,9583,9594,9753,0763,1033,3954,4387,4749,0347,1489,3602,4359,5962,7003,8097,9090,9184,9537
,2740,31 Jan 2018 (Wed),0680,8160,3204,5387,7858,7889,8218,8714,9820,0925,1736,2499,2619,0213,1044,3706,4061,4519,5922,6099,6436,8752,9551
,2741,03 Feb 2018 (Sat),3849,0025,4832,6012,6615,6642,6681,6796,6998,8873,9358,1695,2805,0523,1254,2374,5112,5284,5383,7063,7655,7700,8655
,2742,04 Feb 2018 (Sun),3889,1111,2700,6809,6880,7954,8451,9801,0526,2478,3884,4492,4653,0280,1579,1787,2522,3163,3628,5519,7237,8511,9575
,2743,07 Feb 2018 (Wed),4522,2150,5494,2008,5799,5900,6067,7461,9459,9599,0922,1313,1657,0866,1740,3661,4887,5183,5660,5980,8340,8576,8632
,2744,10 Feb 2018 (Sat),2195,5648,2205,0875,1947,2642,5878,7597,8359,8439,8874,9331,0337,1017,1080,2297,3220,3250,3309,4661,5114,5962,6897
,2745,11 Feb 2018 (Sun),2984,4597,0040,0836,2587,5037,5323,5943,6324,7100,8413,8464,9844,2537,3017,3493,3740,4601,5930,6462,7429,7945,9061
,2746,14 Feb 2018 (Wed),8549,2044,6804,0382,1858,2797,2821,6517,7347,7509,7945,8712,9206,9403,1453,1709,3019,3965,4660,5038,6856,8035,9049
,2747,17 Feb 2018 (Sat),0969,2303,2064,0076,2341,3375,4936,5314,5950,6086,7690,8728,8957,9506,9526,0136,2636,2718,2957,3343,5338,6607,8769
,2748,18 Feb 2018 (Sun),6006,3441,3004,1910,3642,4272,4527,6569,6967,7146,7618,8115,8740,6906,0111,0954,1027,2175,3803,4431,4992,5700,5737
,2749,21 Feb 2018 (Wed),6044,9264,6404,0379,0796,1570,1608,2667,2960,4567,5902,6835,9438,7571,8708,0674,0827,1533,1791,1956,2574,4008,6235
,2750,24 Feb 2018 (Sat),0233,6529,3041,0439,0976,1052,4034,4128,4649,5729,6617,7866,9167,0597,1385,2858,4075,6862,7080,7489,7899,8561,9449
,2751,25 Feb 2018 (Sun),8481,6263,9703,9064,9683,1330,3416,5711,5757,7064,7479,7789,8327,1027,2731,3731,4299,5263,6576,7349,7707,8097,9903
,2752,28 Feb 2018 (Wed),3265,4144,4987,6893,8591,9892,0262,1601,1601,2497,2592,2631,6328,0071,0685,3004,3750,4817,5382,6284,7003,7984,9464
,2753,03 Mar 2018 (Sat),7504,4800,2296,4765,5927,6228,8381,9645,0412,0810,2680,2685,3255,0852,1224,2476,3584,4525,5421,6281,6444,7703,9325
,2754,04 Mar 2018 (Sun),5773,5954,0645,5219,5250,7626,8108,8496,8561,8757,1337,2414,3925,0749,1182,1803,2418,4130,5184,5955,5994,6349,8631
,2755,07 Mar 2018 (Wed),8576,6358,4024,3586,4325,4903,4957,5256,5960,6490,8488,2118,2331,0510,1381,1398,1756,2299,3961,4505,6996,9861,9940
,2756,10 Mar 2018 (Sat),1065,1246,9744,0870,0901,1494,2592,2603,3559,3916,4302,4687,9216,0470,1274,3406,4455,5065,5456,7035,7084,9685,9721
,2757,11 Mar 2018 (Sun),2821,8088,7816,0271,0694,2388,2828,4178,4427,6311,6862,8589,9143,1557,1977,2705,2979,3993,4867,5669,7290,8909,9889
,2758,14 Mar 2018 (Wed),4111,7316,5190,0290,0933,1221,3067,5947,6837,7299,7732,8074,9929,8318,8596,1932,2238,2811,5228,5763,5917,6525,8296
,2759,17 Mar 2018 (Sat),1363,5772,1590,0370,0671,0791,0901,5567,6289,7450,9052,9545,9830,7873,8707,0145,0681,2035,2316,5659,6013,7503,7734
,2760,18 Mar 2018 (Sun),2086,3576,0150,0733,0868,0927,1423,1781,5450,6007,7989,8044,8511,8963,8978,9185,9608,0652,2313,3209,3621,7476,8152
,2761,21 Mar 2018 (Wed),8041,3683,5263,2089,3245,3277,3718,4845,5865,6263,9098,9531,9813,7849,7867,0551,1424,1872,2975,4408,4511,6256,6733
,2762,24 Mar 2018 (Sat),0477,2425,6864,1368,2708,2849,3510,4032,5332,6129,6424,7983,9357,6915,9893,9960,9993,0264,1582,2067,2202,2394,2655
,2763,25 Mar 2018 (Sun),0771,9804,7998,0430,2070,2562,3569,4426,5214,6208,6631,7375,8292,5293,6310,8411,8560,9352,2206,3553,4128,4572,5161
,2764,28 Mar 2018 (Wed),0121,6756,4030,0451,2085,2377,3062,3835,5774,6736,7925,8117,9775,8404,8415,0819,1281,1369,3025,6213,6921,7083,8082
,2765,31 Mar 2018 (Sat),1924,2070,8761,1036,1658,1952,2924,3523,4580,6294,6875,9309,9983,5784,6487,7228,7330,8795,9523,9570,9920,3660,4750
,2766,01 Apr 2018 (Sun),3589,6619,0322,0488,0901,1541,2365,4309,7467,7606,8117,8543,9306,4787,6156,6778,0035,0259,1499,3937,4144,4474,4543
,2767,04 Apr 2018 (Wed),9031,5659,6244,1378,3257,3368,3377,5747,6929,6930,7742,8598,9185,5782,5941,1102,1740,1919,2608,2733,2952,4040,5599
,2768,07 Apr 2018 (Sat),0461,5773,5535,3159,3514,4333,4784,5072,5396,6063,6658,7721,7825,0115,1018,1854,3267,3827,6582,7149,7369,7537,8272
,2769,08 Apr 2018 (Sun),4810,6143,7968,1449,2852,3141,3453,4655,4743,5284,7526,7935,7997,9384,0361,1775,2343,3344,3687,4263,4771,6878,8626
,2770,11 Apr 2018 (Wed),9669,8022,7001,1701,3271,3326,3502,4626,6204,6642,8181,8836,9124,6296,7796,9942,0396,2639,4157,4303,4393,4996,5278
,2771,14 Apr 2018 (Sat),7959,9210,5212,2111,2807,3489,3851,5613,6371,6506,8682,9381,9964,3671,4843,8445,9562,0845,0863,1299,1876,3251,3532
,2772,15 Apr 2018 (Sun),9129,6295,1557,0005,1659,4176,4277,5139,6083,6389,6734,7443,8830,2933,3912,7176,9229,9832,9999,0545,0981,1613,2616
,2773,18 Apr 2018 (Wed),0615,6916,7240,0704,1141,3603,5491,5652,5854,7926,8313,8778,9292,8107,1101,2011,3073,5168,5908,5958,6097,7649,7731
,2774,21 Apr 2018 (Sat),7733,4678,5369,0461,2251,4115,4194,6252,6988,7299,7608,8678,8843,8884,9350,0192,0465,7117,7523,7681,7703,8464,8803
,2775,22 Apr 2018 (Sun),4376,3399,9707,0285,1685,1766,2309,3388,4862,5104,7269,7810,9796,2726,3328,3640,5732,6292,6922,7480,7674,0335,0494
,2776,25 Apr 2018 (Wed),2392,8621,1478,0151,0485,0579,1262,3774,5360,5486,6726,7481,8644,1726,2826,3109,3360,6142,7619,7996,8224,8707,9119
,2777,28 Apr 2018 (Sat),9433,7132,3352,6074,6453,8753,8936,9605,0021,0606,2568,2747,4954,0152,0264,2488,3029,5442,5954,6456,6632,9196,9801
,2778,29 Apr 2018 (Sun),4246,1874,7459,6526,6854,7927,8192,8503,9129,0915,1619,4396,6138,0527,0617,2670,5372,6045,6285,7860,8777,9187,9498
,2779,02 May 2018 (Wed),5599,7599,7050,5751,6458,7687,8256,9589,9811,9896,9957,1249,4432,3694,3933,4021,4766,5001,5104,5272,6921,6957,9841
,2780,05 May 2018 (Sat),1728,9615,1862,1977,2685,3011,3390,7011,7371,7553,9466,9621,9843,3949,4146,4183,4809,5495,6145,6677,7747,7846,9158
,2781,06 May 2018 (Sun),3582,2515,5699,0505,0672,2989,4582,7162,8926,8932,9351,9764,9926,1264,2324,3632,4545,6078,7710,7814,8483,8632,9483
,2782,09 May 2018 (Wed),9983,0860,6411,0874,1352,1543,1631,2432,3236,3426,4079,8864,9223,9041,9895,0197,1307,2333,2946,2954,4019,7350,7603
,2783,12 May 2018 (Sat),2709,6531,7589,0377,2543,2701,5357,6491,6700,7524,7678,8736,9669,6045,7805,7955,0521,2022,2498,3614,3756,3769,4125
,2784,13 May 2018 (Sun),0483,4383,4204,0091,2312,2345,2667,4164,4278,5134,7036,8672,9906,5151,5435,5770,5827,7614,0391,1058,1224,1580,1941
,2785,16 May 2018 (Wed),0162,0715,2722,0019,0392,0597,1188,1393,3930,4159,6801,7468,9680,2384,3238,3458,4527,8276,9663,9801,0407,1169,1297
,2786,19 May 2018 (Sat),2464,0818,5442,0141,0987,3316,3716,4299,5344,5435,5986,6676,8449,4266,4428,5879,5916,6439,7149,7527,8785,2271,2779
,2787,20 May 2018 (Sun),5832,3623,2328,1027,1869,3125,5803,6365,7093,7699,7988,8487,9757,0220,0282,1241,3213,5218,5560,5745,6327,7824,8627
,2788,23 May 2018 (Wed),3775,6355,8194,8683,9017,0649,2926,3279,5588,6235,7679,7691,8408,0586,3352,3635,4234,4700,4771,5882,8810,9380,9849
,2789,26 May 2018 (Sat),3575,7251,4959,7894,8136,8900,0006,1107,1327,5781,5977,6621,7758,1349,1817,4088,4628,6635,7365,7854,8049,9316,9398
,2790,27 May 2018 (Sun),8558,0032,7982,7448,8201,8414,9440,9952,0433,2948,5132,5616,5755,0064,0310,1701,2913,4501,6154,7613,8162,8625,9316
,2791,30 May 2018 (Wed),5031,1278,8838,2057,4360,4859,5004,5100,5682,7605,0118,0623,1377,1092,3834,3858,4292,6560,7749,8098,8853,9747,9964
,2792,02 Jun 2018 (Sat),2243,5146,1480,2063,2166,2428,2504,3599,5491,7909,8989,0503,0967,0378,1224,3405,4258,4273,5088,5810,6153,6256,6388
,2793,03 Jun 2018 (Sun),2200,4072,9339,1030,1147,1769,1920,1932,4253,7614,8453,8689,9749,0015,0799,1336,1620,4096,4314,5319,5614,6184,6646
,2794,06 Jun 2018 (Wed),5042,0049,6410,0028,1062,2679,3850,4780,5022,6192,6476,6819,8304,0987,2179,2310,2349,3031,3080,4877,5188,5349,7932
,2795,09 Jun 2018 (Sat),7440,8047,6260,1119,2006,3431,5380,6425,6558,6729,6804,7357,9564,5136,8083,0169,1381,2608,3374,3500,4170,4211,5112
,2796,10 Jun 2018 (Sun),7417,7458,8035,0685,0824,1347,1595,3123,3509,3629,7531,8734,8946,6575,7539,8080,9599,0927,2285,4144,4488,4506,4530
,2797,13 Jun 2018 (Wed),9356,4222,6963,0049,0770,1779,2252,2281,2496,4480,6528,6707,7447,7593,7657,9109,9138,9173,0011,0818,1720,1909,2230
,2798,16 Jun 2018 (Sat),9068,4849,8708,1167,1458,3158,3608,3878,4221,4283,6123,9423,9824,5370,5434,5447,7333,8270,8483,8726,2238,3865,4539
,2799,17 Jun 2018 (Sun),3390,3694,1623,0764,0952,1872,3018,3988,6186,7755,8156,8628,8688,1175,1835,4988,5090,6121,6220,6405,7706,9216,0315
,2800,20 Jun 2018 (Wed),9982,3312,2680,0860,1132,1505,2665,2951,5296,6139,6320,7336,7912,0692,1557,2213,3877,4619,4677,5434,7132,7739,8385
,2801,23 Jun 2018 (Sat),5475,9934,7565,7859,7889,1336,1498,1511,3698,4170,4194,6103,6629,1891,2086,2510,5249,6092,6123,7521,8406,8619,8636
,2802,24 Jun 2018 (Sun),0078,2952,2295,5761,6073,6299,7646,1103,1655,1755,2388,2918,4121,0264,0551,2994,4362,6888,7776,7965,9688,9766,9808
,2803,27 Jun 2018 (Wed),6090,6179,5934,4470,6434,6741,8154,8565,0414,1127,3390,3607,3622,0403,0655,1274,1976,2097,2919,3356,4442,7731,9272
,2804,30 Jun 2018 (Sat),3303,2772,7062,1643,3943,6876,7331,8302,8325,8739,0823,0889,0892,1207,2814,3652,6036,6293,7017,8561,8774,9003,9239
,2805,01 Jul 2018 (Sun),5156,1081,2167,1739,3242,3607,5043,5783,6315,6626,8908,9740,1309,1107,3232,4861,4876,5387,6377,6612,7231,9449,9464
,2806,04 Jul 2018 (Wed),7857,3400,7804,2066,2095,2724,2966,3633,6655,7398,9020,9260,9508,0329,2205,3110,3834,5611,6065,6199,7304,7389,9272
,2807,07 Jul 2018 (Sat),4662,6059,7451,0109,1071,1173,4094,4986,5461,5702,5804,8044,9594,9877,0731,0860,1303,2100,3354,4985,5558,6159,9795
,2808,08 Jul 2018 (Sun),9320,6023,5265,0313,0922,2120,3354,3796,3797,6397,6588,6832,8605,9114,9570,0947,1694,1930,2150,3300,6208,6543,8001
,2809,11 Jul 2018 (Wed),0838,1829,5853,0188,0747,2122,3770,6172,7146,7803,8585,9183,9377,4151,7424,8322,9627,0436,1188,1377,2180,3272,3516
,2810,14 Jul 2018 (Sat),4264,9786,1346,0064,2553,2928,3114,3898,4137,5997,6697,7577,8030,6204,6754,7155,7540,8370,8503,2281,3486,4559,5087
,2811,15 Jul 2018 (Sun),2113,5281,3550,0200,0424,0894,2185,2467,2673,3979,3995,5905,8367,3372,7070,7691,7772,7927,7929,9410,2412,2664,2939
,2812,18 Jul 2018 (Wed),9129,6954,2000,0362,1436,5736,6037,6319,6332,6858,7521,9374,9858,1023,1977,2907,3468,5070,6109,6294,7200,8449,0784
,2813,21 Jul 2018 (Sat),6581,9102,5839,9075,0854,2373,2653,3401,3933,4643,5696,6832,7649,0310,1239,3324,3951,4776,4961,7655,7731,8381,8691
,2814,22 Jul 2018 (Sun),0091,0474,3791,1028,1944,2883,4078,7196,7213,7308,7913,8486,9689,8846,9651,0020,1367,3780,4624,4736,5232,5760,7350
,2815,25 Jul 2018 (Wed),1933,8072,2872,0766,2217,2232,4027,4745,5437,6600,7187,7808,8931,7411,8482,8786,0676,0845,0963,1251,1639,3935,4025
,2816,28 Jul 2018 (Sat),3013,2901,8547,0216,0312,1990,2175,2959,3633,4867,8206,8571,8920,4718,6941,7595,9238,9684,1050,1541,3048,3640,4308
,2817,29 Jul 2018 (Sun),8988,5099,6640,6243,6523,8417,8780,8813,9075,0854,2335,3016,3268,0121,0410,0616,1801,3910,6201,7995,8034,9381,9556
,2818,01 Aug 2018 (Wed),4337,4976,6290,1932,1993,2207,3495,5493,7046,7711,7888,8026,0053,1941,4001,4974,5119,6112,6334,7056,7371,7908,9387
,2819,04 Aug 2018 (Sat),9815,5825,2710,0783,0903,0919,1639,2739,3863,7069,7579,8139,8522,0049,0075,2538,3976,4658,5173,5626,5742,7537,9357
,2820,05 Aug 2018 (Sun),6002,2160,3524,9843,0467,1404,2873,5228,5232,5665,6766,6831,7555,0822,1389,1502,2633,3707,4192,7131,8448,9024,9454
,2821,08 Aug 2018 (Wed),7943,6994,0884,3398,5120,5507,5561,6752,8327,9226,9906,1289,2089,9097,9450,1134,1687,1964,4429,5169,5210,5744,7622
,2822,11 Aug 2018 (Sat),9532,3527,2917,1984,4478,5681,6271,6395,7372,8922,9204,9770,9909,1678,5020,6080,7247,7424,7628,7793,7802,8113,0067
,2823,12 Aug 2018 (Sun),2545,1797,3604,2998,6476,6635,7100,8779,9855,0250,1547,2377,2582,0537,0631,2241,5515,5587,6025,6182,6499,7470,7726
,2824,15 Aug 2018 (Wed),5521,0912,6489,0825,1038,4181,5093,5168,5594,7748,8793,8804,9304,4099,4495,4643,6074,6214,7526,9571,1572,3371,3938
,2825,18 Aug 2018 (Sat),1695,6638,8269,6179,6378,6963,9284,1147,2699,2923,4016,5505,5523,0742,1183,1346,2183,3142,6427,6785,6814,6983,7492
,2826,19 Aug 2018 (Sun),2653,5576,4102,0415,0962,3919,5464,5489,7258,7699,8454,8867,9828,6178,6369,7053,7103,8549,0263,2808,4006,4111,5918
,2827,22 Aug 2018 (Wed),5518,3402,1232,5779,9226,0471,1021,1357,2115,2355,4700,4867,5394,0001,0151,0991,1100,1611,2334,3040,5098,7269,8502
,2828,25 Aug 2018 (Sat),6002,9313,5208,1148,2088,4585,5047,5788,5896,6267,8342,9287,0613,6433,6673,9641,0214,0282,2131,2804,4324,4828,5559
,2829,26 Aug 2018 (Sun),0232,3096,3267,0515,0891,1865,3300,3520,4642,8794,9623,9905,9941,0236,0442,0639,1560,1887,5236,6582,8041,8945,9205
,2830,29 Aug 2018 (Wed),1630,1624,0772,2363,5056,5932,6375,7768,8647,9348,0190,1429,2238,9713,0090,3977,4757,4939,6888,7117,7650,7721,8694
,2831,01 Sep 2018 (Sat),3804,3090,6124,0169,1337,2301,3072,3304,5294,7249,7876,7946,8306,2174,2204,3459,3509,3946,6983,8117,9416,0361,0646
,2832,02 Sep 2018 (Sun),5633,3646,1640,4146,5857,6202,6945,8269,0348,0978,1895,2012,2889,3795,5130,5245,5840,6043,7060,7477,8013,9377,9620
,2833,05 Sep 2018 (Wed),3742,0862,2678,0931,1514,1737,2458,4005,6147,6402,8304,8947,9204,8034,8875,8996,9319,9520,9675,1649,2792,3338,3860
,2834,08 Sep 2018 (Sat),8421,6495,6274,9125,9457,9486,1482,2968,5329,5981,6062,6347,7179,0315,1005,1410,1788,3413,3859,3870,4593,5238,8677
,2835,09 Sep 2018 (Sun),4185,2622,4140,0094,1594,2433,4920,5504,6022,6365,7295,7810,9065,7585,7866,8389,9164,1083,3320,4049,5769,6131,7042
,2836,12 Sep 2018 (Wed),4281,3577,1519,9804,0181,0623,1366,2940,3468,3548,4068,6174,8411,1049,1504,2710,4224,4381,5276,6261,8073,8283,9259
,2837,15 Sep 2018 (Sat),3444,9074,6852,2102,3158,3720,5012,5282,6576,6895,7124,0439,1128,6105,7100,0342,0409,1611,2072,2640,2785,3506,4810
,2838,16 Sep 2018 (Sun),7127,6211,6188,2755,3595,4337,4549,5271,6762,7555,7662,7812,8043,0921,1152,1860,2246,4285,4633,6412,8127,9589,0658
,2839,19 Sep 2018 (Wed),0939,5409,1015,4179,5485,6231,6879,8104,8754,0807,1830,2839,3601,0549,1358,2941,3355,3493,4332,5236,5506,7057,9843
,2840,22 Sep 2018 (Sat),7338,7494,4897,0663,1180,3205,3956,4828,4930,5684,7503,7609,8962,4954,5810,8236,8585,8859,9166,9886,0576,1201,4350
,2841,23 Sep 2018 (Sun),5917,2345,5488,8855,9410,9443,9898,3489,3969,4095,4316,5594,8499,0202,1428,2903,5876,6133,6464,7006,8092,9048,9595
,2842,26 Sep 2018 (Wed),3141,0764,5780,1505,2572,3795,4919,4949,5474,5981,5998,6095,7496,7294,7826,8243,8911,9688,0445,1515,2060,3216,3916
